Time,STREETLEVEL:EAST:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:EAST:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:CORE:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:CORE:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:WEST:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:WEST:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:NORTH:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:SOUTH:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:SOUTH:EXTREME WINTER:Des Sens Cool Load [W],STREETLEVEL:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:SOUTH:EXTREME WINTER:Des Cool Mass Flow [kg/s],MIDFLOOR:EAST:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:EAST:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:CORE:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:CORE:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:WEST:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:WEST:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:NORTH:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:SOUTH:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:SOUTH:EXTREME WINTER:Des Sens Cool Load [W],MIDFLOOR:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:SOUTH:EXTREME WINTER:Des Cool Mass Flow [kg/s],TOPFLOOR:EAST:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:EAST:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:CORE:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:CORE:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:WEST:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:WEST:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:NORTH:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:SOUTH:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:SOUTH:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:SOUTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s] 
00:03:00,1.165880E+03,0.000000E+00,4.412471E-02,0.000000E+00,5.741400E+02,0.000000E+00,2.173001E-02,0.000000E+00,1.161131E+03,0.000000E+00,4.394497E-02,0.000000E+00,1.159822E+03,0.000000E+00,4.389542E-02,0.000000E+00,1.166425E+03,0.000000E+00,4.414533E-02,0.000000E+00,1.184523E+03,0.000000E+00,4.483027E-02,0.000000E+00,6.029561E+02,0.000000E+00,2.282062E-02,0.000000E+00,1.175450E+03,0.000000E+00,4.448690E-02,0.000000E+00,1.172956E+03,0.000000E+00,4.439251E-02,0.000000E+00,1.185454E+03,0.000000E+00,4.486548E-02,0.000000E+00,1.412928E+03,0.000000E+00,5.347484E-02,0.000000E+00,1.423036E+03,0.000000E+00,5.385781E-02,0.000000E+00,1.401039E+03,0.000000E+00,5.302493E-02,0.000000E+00,1.397765E+03,0.000000E+00,5.290102E-02,0.000000E+00,1.414008E+03,0.000000E+00,5.351572E-02,0.000000E+00 
00:06:00,1.215826E+03,0.000000E+00,4.601481E-02,0.000000E+00,6.033478E+02,0.000000E+00,2.283538E-02,0.000000E+00,1.210149E+03,0.000000E+00,4.579995E-02,0.000000E+00,1.208996E+03,0.000000E+00,4.575634E-02,0.000000E+00,1.216193E+03,0.000000E+00,4.602871E-02,0.000000E+00,1.235635E+03,0.000000E+00,4.676448E-02,0.000000E+00,6.332786E+02,0.000000E+00,2.396817E-02,0.000000E+00,1.224847E+03,0.000000E+00,4.635623E-02,0.000000E+00,1.222714E+03,0.000000E+00,4.627549E-02,0.000000E+00,1.236179E+03,0.000000E+00,4.678509E-02,0.000000E+00,1.473027E+03,0.000000E+00,5.574922E-02,0.000000E+00,1.485979E+03,0.000000E+00,5.623980E-02,0.000000E+00,1.458921E+03,0.000000E+00,5.521536E-02,0.000000E+00,1.456146E+03,0.000000E+00,5.511033E-02,0.000000E+00,1.473580E+03,0.000000E+00,5.577014E-02,0.000000E+00 
00:09:00,1.265062E+03,0.000000E+00,4.787806E-02,0.000000E+00,6.321144E+02,0.000000E+00,2.392405E-02,0.000000E+00,1.258555E+03,0.000000E+00,4.763179E-02,0.000000E+00,1.257570E+03,0.000000E+00,4.759452E-02,0.000000E+00,1.265405E+03,0.000000E+00,4.789104E-02,0.000000E+00,1.285832E+03,0.000000E+00,4.866411E-02,0.000000E+00,6.631618E+02,0.000000E+00,2.509910E-02,0.000000E+00,1.273599E+03,0.000000E+00,4.820118E-02,0.000000E+00,1.271848E+03,0.000000E+00,4.813487E-02,0.000000E+00,1.286320E+03,0.000000E+00,4.868258E-02,0.000000E+00,1.532032E+03,0.000000E+00,5.798216E-02,0.000000E+00,1.548091E+03,0.000000E+00,5.859034E-02,0.000000E+00,1.516095E+03,0.000000E+00,5.737903E-02,0.000000E+00,1.513843E+03,0.000000E+00,5.729380E-02,0.000000E+00,1.532511E+03,0.000000E+00,5.800028E-02,0.000000E+00 
00:12:00,1.313689E+03,0.000000E+00,4.971822E-02,0.000000E+00,6.604371E+02,0.000000E+00,2.499592E-02,0.000000E+00,1.306358E+03,0.000000E+00,4.944080E-02,0.000000E+00,1.305554E+03,0.000000E+00,4.941036E-02,0.000000E+00,1.313990E+03,0.000000E+00,4.972964E-02,0.000000E+00,1.335416E+03,0.000000E+00,5.054052E-02,0.000000E+00,6.926010E+02,0.000000E+00,2.621322E-02,0.000000E+00,1.321739E+03,0.000000E+00,5.002293E-02,0.000000E+00,1.320389E+03,0.000000E+00,4.997181E-02,0.000000E+00,1.335857E+03,0.000000E+00,5.055720E-02,0.000000E+00,1.590333E+03,0.000000E+00,6.018847E-02,0.000000E+00,1.609369E+03,0.000000E+00,6.090932E-02,0.000000E+00,1.572574E+03,0.000000E+00,5.951641E-02,0.000000E+00,1.570872E+03,0.000000E+00,5.945196E-02,0.000000E+00,1.590757E+03,0.000000E+00,6.020452E-02,0.000000E+00 
00:15:00,1.361727E+03,0.000000E+00,5.153616E-02,0.000000E+00,6.883138E+02,0.000000E+00,2.605092E-02,0.000000E+00,1.353515E+03,0.000000E+00,5.122538E-02,0.000000E+00,1.352902E+03,0.000000E+00,5.120217E-02,0.000000E+00,1.362014E+03,0.000000E+00,5.154700E-02,0.000000E+00,1.384372E+03,0.000000E+00,5.239315E-02,0.000000E+00,7.215921E+02,0.000000E+00,2.731038E-02,0.000000E+00,1.369197E+03,0.000000E+00,5.181889E-02,0.000000E+00,1.368268E+03,0.000000E+00,5.178372E-02,0.000000E+00,1.384772E+03,0.000000E+00,5.240830E-02,0.000000E+00,1.647903E+03,0.000000E+00,6.236710E-02,0.000000E+00,1.669732E+03,0.000000E+00,6.319371E-02,0.000000E+00,1.628268E+03,0.000000E+00,6.162404E-02,0.000000E+00,1.627140E+03,0.000000E+00,6.158136E-02,0.000000E+00,1.648282E+03,0.000000E+00,6.238148E-02,0.000000E+00 
00:18:00,1.409118E+03,0.000000E+00,5.332956E-02,0.000000E+00,7.157425E+02,0.000000E+00,2.708895E-02,0.000000E+00,1.400037E+03,0.000000E+00,5.298588E-02,0.000000E+00,1.399629E+03,0.000000E+00,5.297047E-02,0.000000E+00,1.409380E+03,0.000000E+00,5.333946E-02,0.000000E+00,1.432683E+03,0.000000E+00,5.422139E-02,0.000000E+00,7.501306E+02,0.000000E+00,2.839042E-02,0.000000E+00,1.416009E+03,0.000000E+00,5.359039E-02,0.000000E+00,1.415523E+03,0.000000E+00,5.357196E-02,0.000000E+00,1.433050E+03,0.000000E+00,5.423527E-02,0.000000E+00,1.704711E+03,0.000000E+00,6.451691E-02,0.000000E+00,1.729190E+03,0.000000E+00,6.544379E-02,0.000000E+00,1.683199E+03,0.000000E+00,6.370284E-02,0.000000E+00,1.682674E+03,0.000000E+00,6.368294E-02,0.000000E+00,1.705056E+03,0.000000E+00,6.452997E-02,0.000000E+00 
00:21:00,1.455904E+03,0.000000E+00,5.510006E-02,0.000000E+00,7.427208E+02,0.000000E+00,2.810994E-02,0.000000E+00,1.446077E+03,0.000000E+00,5.472819E-02,0.000000E+00,1.445694E+03,0.000000E+00,5.471370E-02,0.000000E+00,1.456145E+03,0.000000E+00,5.510921E-02,0.000000E+00,1.480336E+03,0.000000E+00,5.602472E-02,0.000000E+00,7.782124E+02,0.000000E+00,2.945317E-02,0.000000E+00,1.462535E+03,0.000000E+00,5.535105E-02,0.000000E+00,1.462086E+03,0.000000E+00,5.533407E-02,0.000000E+00,1.480676E+03,0.000000E+00,5.603757E-02,0.000000E+00,1.760732E+03,0.000000E+00,6.663696E-02,0.000000E+00,1.787672E+03,0.000000E+00,6.765694E-02,0.000000E+00,1.737875E+03,0.000000E+00,6.577196E-02,0.000000E+00,1.737391E+03,0.000000E+00,6.575362E-02,0.000000E+00,1.761050E+03,0.000000E+00,6.664899E-02,0.000000E+00 
00:24:00,1.502013E+03,0.000000E+00,5.684497E-02,0.000000E+00,7.692460E+02,0.000000E+00,2.911378E-02,0.000000E+00,1.491476E+03,0.000000E+00,5.644623E-02,0.000000E+00,1.491111E+03,0.000000E+00,5.643240E-02,0.000000E+00,1.502238E+03,0.000000E+00,5.685350E-02,0.000000E+00,1.527319E+03,0.000000E+00,5.780268E-02,0.000000E+00,8.058329E+02,0.000000E+00,3.049845E-02,0.000000E+00,1.508413E+03,0.000000E+00,5.708722E-02,0.000000E+00,1.507998E+03,0.000000E+00,5.707150E-02,0.000000E+00,1.527636E+03,0.000000E+00,5.781469E-02,0.000000E+00,1.815946E+03,0.000000E+00,6.872644E-02,0.000000E+00,1.845194E+03,0.000000E+00,6.983379E-02,0.000000E+00,1.791768E+03,0.000000E+00,6.781145E-02,0.000000E+00,1.791324E+03,0.000000E+00,6.779463E-02,0.000000E+00,1.816242E+03,0.000000E+00,6.873765E-02,0.000000E+00 
00:27:00,1.547492E+03,0.000000E+00,5.856603E-02,0.000000E+00,7.953153E+02,0.000000E+00,3.010037E-02,0.000000E+00,1.536192E+03,0.000000E+00,5.813841E-02,0.000000E+00,1.535842E+03,0.000000E+00,5.812513E-02,0.000000E+00,1.547704E+03,0.000000E+00,5.857404E-02,0.000000E+00,1.573586E+03,0.000000E+00,5.955357E-02,0.000000E+00,8.329875E+02,0.000000E+00,3.152611E-02,0.000000E+00,1.553584E+03,0.000000E+00,5.879664E-02,0.000000E+00,1.553195E+03,0.000000E+00,5.878188E-02,0.000000E+00,1.573885E+03,0.000000E+00,5.956489E-02,0.000000E+00,1.870333E+03,0.000000E+00,7.078461E-02,0.000000E+00,1.901695E+03,0.000000E+00,7.197198E-02,0.000000E+00,1.844815E+03,0.000000E+00,6.981892E-02,0.000000E+00,1.844399E+03,0.000000E+00,6.980315E-02,0.000000E+00,1.870612E+03,0.000000E+00,7.079517E-02,0.000000E+00 
00:30:00,1.592272E+03,0.000000E+00,6.026063E-02,0.000000E+00,8.209257E+02,0.000000E+00,3.106958E-02,0.000000E+00,1.580240E+03,0.000000E+00,5.980532E-02,0.000000E+00,1.579901E+03,0.000000E+00,5.979246E-02,0.000000E+00,1.592472E+03,0.000000E+00,6.026821E-02,0.000000E+00,1.619192E+03,0.000000E+00,6.127942E-02,0.000000E+00,8.596719E+02,0.000000E+00,3.253597E-02,0.000000E+00,1.598089E+03,0.000000E+00,6.048083E-02,0.000000E+00,1.597716E+03,0.000000E+00,6.046671E-02,0.000000E+00,1.619477E+03,0.000000E+00,6.129020E-02,0.000000E+00,1.923838E+03,0.000000E+00,7.280943E-02,0.000000E+00,1.957198E+03,0.000000E+00,7.407238E-02,0.000000E+00,1.897052E+03,0.000000E+00,7.179574E-02,0.000000E+00,1.896652E+03,0.000000E+00,7.178060E-02,0.000000E+00,1.924104E+03,0.000000E+00,7.281948E-02,0.000000E+00 
