Time,STREETLEVEL:EAST:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:EAST:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:CORE:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:CORE:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:WEST:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:WEST:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:NORTH:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:SOUTH:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:SOUTH:EXTREME WINTER:Des Sens Cool Load [W],STREETLEVEL:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:SOUTH:EXTREME WINTER:Des Cool Mass Flow [kg/s],MIDFLOOR:EAST:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:EAST:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:CORE:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:CORE:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:WEST:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:WEST:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:NORTH:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:SOUTH:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:SOUTH:EXTREME WINTER:Des Sens Cool Load [W],MIDFLOOR:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:SOUTH:EXTREME WINTER:Des Cool Mass Flow [kg/s],TOPFLOOR:EAST:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:EAST:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:CORE:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:CORE:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:WEST:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:WEST:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:NORTH:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:SOUTH:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:SOUTH:EXTREME WINTER:Des Sens Cool Load [W],TOPFLOOR:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:SOUTH:EXTREME WINTER:Des Cool Mass Flow [kg/s] 
00:03:00,1.125514E+03,0.000000E+00,4.259699E-02,0.000000E+00,5.622307E+02,0.000000E+00,2.127928E-02,0.000000E+00,1.120537E+03,0.000000E+00,4.240864E-02,0.000000E+00,1.119114E+03,0.000000E+00,4.235479E-02,0.000000E+00,1.125898E+03,0.000000E+00,4.261154E-02,0.000000E+00,1.142104E+03,0.000000E+00,4.322484E-02,0.000000E+00,5.863649E+02,0.000000E+00,2.219269E-02,0.000000E+00,1.132850E+03,0.000000E+00,4.287465E-02,0.000000E+00,1.130084E+03,0.000000E+00,4.276996E-02,0.000000E+00,1.142983E+03,0.000000E+00,4.325811E-02,0.000000E+00,1.291291E+03,0.000000E+00,4.887137E-02,0.000000E+00,1.287456E+03,0.000000E+00,4.872664E-02,0.000000E+00,1.279216E+03,0.000000E+00,4.841437E-02,0.000000E+00,1.275539E+03,0.000000E+00,4.827524E-02,0.000000E+00,1.292398E+03,0.000000E+00,4.891327E-02,0.000000E+00 
00:06:00,1.173647E+03,0.000000E+00,4.441848E-02,0.000000E+00,5.912008E+02,0.000000E+00,2.237566E-02,0.000000E+00,1.167771E+03,0.000000E+00,4.419611E-02,0.000000E+00,1.166547E+03,0.000000E+00,4.414979E-02,0.000000E+00,1.173733E+03,0.000000E+00,4.442176E-02,0.000000E+00,1.191236E+03,0.000000E+00,4.508416E-02,0.000000E+00,6.161885E+02,0.000000E+00,2.332137E-02,0.000000E+00,1.180274E+03,0.000000E+00,4.466931E-02,0.000000E+00,1.177910E+03,0.000000E+00,4.457985E-02,0.000000E+00,1.191625E+03,0.000000E+00,4.509889E-02,0.000000E+00,1.345686E+03,0.000000E+00,5.092987E-02,0.000000E+00,1.344558E+03,0.000000E+00,5.088763E-02,0.000000E+00,1.331394E+03,0.000000E+00,5.038899E-02,0.000000E+00,1.328260E+03,0.000000E+00,5.027039E-02,0.000000E+00,1.346168E+03,0.000000E+00,5.094812E-02,0.000000E+00 
00:09:00,1.221055E+03,0.000000E+00,4.621255E-02,0.000000E+00,6.197293E+02,0.000000E+00,2.345532E-02,0.000000E+00,1.214348E+03,0.000000E+00,4.595874E-02,0.000000E+00,1.213333E+03,0.000000E+00,4.592033E-02,0.000000E+00,1.220999E+03,0.000000E+00,4.621046E-02,0.000000E+00,1.239409E+03,0.000000E+00,4.690717E-02,0.000000E+00,6.455689E+02,0.000000E+00,2.443327E-02,0.000000E+00,1.227007E+03,0.000000E+00,4.643785E-02,0.000000E+00,1.225067E+03,0.000000E+00,4.636440E-02,0.000000E+00,1.239639E+03,0.000000E+00,4.691590E-02,0.000000E+00,1.398977E+03,0.000000E+00,5.294659E-02,0.000000E+00,1.400883E+03,0.000000E+00,5.301916E-02,0.000000E+00,1.382857E+03,0.000000E+00,5.233652E-02,0.000000E+00,1.380291E+03,0.000000E+00,5.223943E-02,0.000000E+00,1.399291E+03,0.000000E+00,5.295848E-02,0.000000E+00 
00:12:00,1.267840E+03,0.000000E+00,4.798305E-02,0.000000E+00,6.478131E+02,0.000000E+00,2.451815E-02,0.000000E+00,1.260277E+03,0.000000E+00,4.769684E-02,0.000000E+00,1.259485E+03,0.000000E+00,4.766686E-02,0.000000E+00,1.267627E+03,0.000000E+00,4.797500E-02,0.000000E+00,1.286924E+03,0.000000E+00,4.870528E-02,0.000000E+00,6.745014E+02,0.000000E+00,2.552822E-02,0.000000E+00,1.273082E+03,0.000000E+00,4.818146E-02,0.000000E+00,1.271585E+03,0.000000E+00,4.812480E-02,0.000000E+00,1.287007E+03,0.000000E+00,4.870843E-02,0.000000E+00,1.451577E+03,0.000000E+00,5.493717E-02,0.000000E+00,1.456454E+03,0.000000E+00,5.512219E-02,0.000000E+00,1.433635E+03,0.000000E+00,5.425817E-02,0.000000E+00,1.431664E+03,0.000000E+00,5.418357E-02,0.000000E+00,1.451744E+03,0.000000E+00,5.494348E-02,0.000000E+00 
00:15:00,1.313935E+03,0.000000E+00,4.972742E-02,0.000000E+00,6.754500E+02,0.000000E+00,2.556407E-02,0.000000E+00,1.305517E+03,0.000000E+00,4.940886E-02,0.000000E+00,1.304958E+03,0.000000E+00,4.938770E-02,0.000000E+00,1.313594E+03,0.000000E+00,4.971450E-02,0.000000E+00,1.333768E+03,0.000000E+00,5.047800E-02,0.000000E+00,7.029825E+02,0.000000E+00,2.660608E-02,0.000000E+00,1.318431E+03,0.000000E+00,4.989760E-02,0.000000E+00,1.317398E+03,0.000000E+00,4.985849E-02,0.000000E+00,1.333711E+03,0.000000E+00,5.047587E-02,0.000000E+00,1.503477E+03,0.000000E+00,5.690122E-02,0.000000E+00,1.511217E+03,0.000000E+00,5.719461E-02,0.000000E+00,1.483656E+03,0.000000E+00,5.615114E-02,0.000000E+00,1.482306E+03,0.000000E+00,5.610003E-02,0.000000E+00,1.503507E+03,0.000000E+00,5.690237E-02,0.000000E+00 
00:18:00,1.359398E+03,0.000000E+00,5.144788E-02,0.000000E+00,7.026376E+02,0.000000E+00,2.659298E-02,0.000000E+00,1.350078E+03,0.000000E+00,5.109518E-02,0.000000E+00,1.349766E+03,0.000000E+00,5.108338E-02,0.000000E+00,1.358920E+03,0.000000E+00,5.142978E-02,0.000000E+00,1.379925E+03,0.000000E+00,5.222473E-02,0.000000E+00,7.310082E+02,0.000000E+00,2.766671E-02,0.000000E+00,1.363090E+03,0.000000E+00,5.158765E-02,0.000000E+00,1.362542E+03,0.000000E+00,5.156690E-02,0.000000E+00,1.379738E+03,0.000000E+00,5.221764E-02,0.000000E+00,1.554658E+03,0.000000E+00,5.883809E-02,0.000000E+00,1.565198E+03,0.000000E+00,5.923745E-02,0.000000E+00,1.532957E+03,0.000000E+00,5.801685E-02,0.000000E+00,1.532255E+03,0.000000E+00,5.799026E-02,0.000000E+00,1.554562E+03,0.000000E+00,5.883449E-02,0.000000E+00 
00:21:00,1.404156E+03,0.000000E+00,5.314167E-02,0.000000E+00,7.293733E+02,0.000000E+00,2.760479E-02,0.000000E+00,1.394116E+03,0.000000E+00,5.276171E-02,0.000000E+00,1.393870E+03,0.000000E+00,5.275239E-02,0.000000E+00,1.403548E+03,0.000000E+00,5.311865E-02,0.000000E+00,1.425384E+03,0.000000E+00,5.394504E-02,0.000000E+00,7.585750E+02,0.000000E+00,2.870997E-02,0.000000E+00,1.407423E+03,0.000000E+00,5.326531E-02,0.000000E+00,1.406955E+03,0.000000E+00,5.324760E-02,0.000000E+00,1.425073E+03,0.000000E+00,5.393327E-02,0.000000E+00,1.605107E+03,0.000000E+00,6.074727E-02,0.000000E+00,1.618342E+03,0.000000E+00,6.124862E-02,0.000000E+00,1.582056E+03,0.000000E+00,5.987493E-02,0.000000E+00,1.581440E+03,0.000000E+00,5.985160E-02,0.000000E+00,1.604894E+03,0.000000E+00,6.073923E-02,0.000000E+00 
00:24:00,1.448256E+03,0.000000E+00,5.481052E-02,0.000000E+00,7.556542E+02,0.000000E+00,2.859939E-02,0.000000E+00,1.437471E+03,0.000000E+00,5.440239E-02,0.000000E+00,1.437284E+03,0.000000E+00,5.439529E-02,0.000000E+00,1.447523E+03,0.000000E+00,5.478280E-02,0.000000E+00,1.470134E+03,0.000000E+00,5.563849E-02,0.000000E+00,7.856789E+02,0.000000E+00,2.973571E-02,0.000000E+00,1.451067E+03,0.000000E+00,5.491696E-02,0.000000E+00,1.450675E+03,0.000000E+00,5.490209E-02,0.000000E+00,1.469705E+03,0.000000E+00,5.562228E-02,0.000000E+00,1.654811E+03,0.000000E+00,6.262823E-02,0.000000E+00,1.670676E+03,0.000000E+00,6.322912E-02,0.000000E+00,1.630434E+03,0.000000E+00,6.170572E-02,0.000000E+00,1.629902E+03,0.000000E+00,6.168558E-02,0.000000E+00,1.654488E+03,0.000000E+00,6.261601E-02,0.000000E+00 
00:27:00,1.491627E+03,0.000000E+00,5.645183E-02,0.000000E+00,7.814775E+02,0.000000E+00,2.957666E-02,0.000000E+00,1.480103E+03,0.000000E+00,5.601569E-02,0.000000E+00,1.479971E+03,0.000000E+00,5.601070E-02,0.000000E+00,1.490775E+03,0.000000E+00,5.641956E-02,0.000000E+00,1.514164E+03,0.000000E+00,5.730471E-02,0.000000E+00,8.123160E+02,0.000000E+00,3.074378E-02,0.000000E+00,1.493966E+03,0.000000E+00,5.654037E-02,0.000000E+00,1.493641E+03,0.000000E+00,5.652806E-02,0.000000E+00,1.513624E+03,0.000000E+00,5.728428E-02,0.000000E+00,1.703756E+03,0.000000E+00,6.448047E-02,0.000000E+00,1.722144E+03,0.000000E+00,6.517686E-02,0.000000E+00,1.678032E+03,0.000000E+00,6.350701E-02,0.000000E+00,1.677573E+03,0.000000E+00,6.348959E-02,0.000000E+00,1.703328E+03,0.000000E+00,6.446428E-02,0.000000E+00 
00:30:00,1.534319E+03,0.000000E+00,5.806741E-02,0.000000E+00,8.068399E+02,0.000000E+00,3.053650E-02,0.000000E+00,1.522027E+03,0.000000E+00,5.760223E-02,0.000000E+00,1.521947E+03,0.000000E+00,5.759919E-02,0.000000E+00,1.533351E+03,0.000000E+00,5.803076E-02,0.000000E+00,1.557431E+03,0.000000E+00,5.894207E-02,0.000000E+00,8.384824E+02,0.000000E+00,3.173404E-02,0.000000E+00,1.536161E+03,0.000000E+00,5.813715E-02,0.000000E+00,1.535895E+03,0.000000E+00,5.812708E-02,0.000000E+00,1.556784E+03,0.000000E+00,5.891760E-02,0.000000E+00,1.751928E+03,0.000000E+00,6.630348E-02,0.000000E+00,1.772774E+03,0.000000E+00,6.709286E-02,0.000000E+00,1.724891E+03,0.000000E+00,6.528031E-02,0.000000E+00,1.724493E+03,0.000000E+00,6.526522E-02,0.000000E+00,1.751400E+03,0.000000E+00,6.628351E-02,0.000000E+00 
