Time,STREETLEVEL:EAST:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:EAST:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:CORE:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:CORE:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:WEST:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:WEST:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:NORTH:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],STREETLEVEL:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],STREETLEVEL:SOUTH:EXTREME WINTER:Des Heat Load [W],STREETLEVEL:SOUTH:EXTREME WINTER:Des Sens Cool Load [W],STREETLEVEL:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],STREETLEVEL:SOUTH:EXTREME WINTER:Des Cool Mass Flow [kg/s],MIDFLOOR:EAST:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:EAST:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:CORE:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:CORE:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:WEST:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:WEST:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:NORTH:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],MIDFLOOR:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],MIDFLOOR:SOUTH:EXTREME WINTER:Des Heat Load [W],MIDFLOOR:SOUTH:EXTREME WINTER:Des Sens Cool Load [W],MIDFLOOR:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],MIDFLOOR:SOUTH:EXTREME WINTER:Des Cool Mass Flow [kg/s],TOPFLOOR:EAST:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:EAST:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:EAST:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:EAST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:CORE:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:CORE:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:CORE:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:CORE:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:WEST:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:WEST:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:WEST:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:WEST:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:NORTH:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:NORTH:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:NORTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:NORTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s],TOPFLOOR:SOUTH:EXTREME WINTER:Des Heat Load [W],TOPFLOOR:SOUTH:EXTREME SUMMER:Des Sens Cool Load [W],TOPFLOOR:SOUTH:EXTREME WINTER:Des Heat Mass Flow [kg/s],TOPFLOOR:SOUTH:EXTREME SUMMER:Des Cool Mass Flow [kg/s] 
00:03:00,1.158814E+03,0.000000E+00,4.385726E-02,0.000000E+00,5.668830E+02,0.000000E+00,2.145536E-02,0.000000E+00,1.153920E+03,0.000000E+00,4.367204E-02,0.000000E+00,1.153229E+03,0.000000E+00,4.364588E-02,0.000000E+00,1.151580E+03,0.000000E+00,4.358341E-02,0.000000E+00,1.177314E+03,0.000000E+00,4.455742E-02,0.000000E+00,5.948792E+02,0.000000E+00,2.251493E-02,0.000000E+00,1.168140E+03,0.000000E+00,4.421021E-02,0.000000E+00,1.166166E+03,0.000000E+00,4.413552E-02,0.000000E+00,1.172106E+03,0.000000E+00,4.436024E-02,0.000000E+00,1.393620E+03,0.000000E+00,5.274411E-02,0.000000E+00,1.396885E+03,0.000000E+00,5.286800E-02,0.000000E+00,1.382085E+03,0.000000E+00,5.230756E-02,0.000000E+00,1.379169E+03,0.000000E+00,5.219720E-02,0.000000E+00,1.389998E+03,0.000000E+00,5.260695E-02,0.000000E+00 
00:06:00,1.207082E+03,0.000000E+00,4.568386E-02,0.000000E+00,5.939473E+02,0.000000E+00,2.247960E-02,0.000000E+00,1.201270E+03,0.000000E+00,4.546389E-02,0.000000E+00,1.201342E+03,0.000000E+00,4.546664E-02,0.000000E+00,1.192261E+03,0.000000E+00,4.512283E-02,0.000000E+00,1.226510E+03,0.000000E+00,4.641914E-02,0.000000E+00,6.226844E+02,0.000000E+00,2.356721E-02,0.000000E+00,1.215639E+03,0.000000E+00,4.600773E-02,0.000000E+00,1.214571E+03,0.000000E+00,4.596731E-02,0.000000E+00,1.215048E+03,0.000000E+00,4.598526E-02,0.000000E+00,1.450843E+03,0.000000E+00,5.490959E-02,0.000000E+00,1.455253E+03,0.000000E+00,5.507677E-02,0.000000E+00,1.437127E+03,0.000000E+00,5.439055E-02,0.000000E+00,1.435285E+03,0.000000E+00,5.432080E-02,0.000000E+00,1.442028E+03,0.000000E+00,5.457585E-02,0.000000E+00 
00:09:00,1.254626E+03,0.000000E+00,4.748307E-02,0.000000E+00,6.206154E+02,0.000000E+00,2.348886E-02,0.000000E+00,1.248024E+03,0.000000E+00,4.723323E-02,0.000000E+00,1.248854E+03,0.000000E+00,4.726463E-02,0.000000E+00,1.232732E+03,0.000000E+00,4.665431E-02,0.000000E+00,1.274824E+03,0.000000E+00,4.824746E-02,0.000000E+00,6.501221E+02,0.000000E+00,2.460558E-02,0.000000E+00,1.262524E+03,0.000000E+00,4.778198E-02,0.000000E+00,1.262365E+03,0.000000E+00,4.777598E-02,0.000000E+00,1.257697E+03,0.000000E+00,4.759912E-02,0.000000E+00,1.507116E+03,0.000000E+00,5.703917E-02,0.000000E+00,1.513021E+03,0.000000E+00,5.726286E-02,0.000000E+00,1.491591E+03,0.000000E+00,5.645162E-02,0.000000E+00,1.490823E+03,0.000000E+00,5.642257E-02,0.000000E+00,1.493755E+03,0.000000E+00,5.653328E-02,0.000000E+00 
00:12:00,1.301639E+03,0.000000E+00,4.926218E-02,0.000000E+00,6.468848E+02,0.000000E+00,2.448302E-02,0.000000E+00,1.294194E+03,0.000000E+00,4.898041E-02,0.000000E+00,1.295777E+03,0.000000E+00,4.904033E-02,0.000000E+00,1.272938E+03,0.000000E+00,4.817574E-02,0.000000E+00,1.322555E+03,0.000000E+00,5.005374E-02,0.000000E+00,6.771865E+02,0.000000E+00,2.562983E-02,0.000000E+00,1.308827E+03,0.000000E+00,4.953423E-02,0.000000E+00,1.309581E+03,0.000000E+00,4.956276E-02,0.000000E+00,1.300018E+03,0.000000E+00,4.920062E-02,0.000000E+00,1.562825E+03,0.000000E+00,5.914738E-02,0.000000E+00,1.570196E+03,0.000000E+00,5.942649E-02,0.000000E+00,1.545495E+03,0.000000E+00,5.849154E-02,0.000000E+00,1.545806E+03,0.000000E+00,5.850329E-02,0.000000E+00,1.545131E+03,0.000000E+00,5.847743E-02,0.000000E+00 
00:15:00,1.348054E+03,0.000000E+00,5.101867E-02,0.000000E+00,6.727535E+02,0.000000E+00,2.546202E-02,0.000000E+00,1.339735E+03,0.000000E+00,5.070382E-02,0.000000E+00,1.342066E+03,0.000000E+00,5.079205E-02,0.000000E+00,1.312870E+03,0.000000E+00,4.968683E-02,0.000000E+00,1.369690E+03,0.000000E+00,5.183745E-02,0.000000E+00,7.038722E+02,0.000000E+00,2.663974E-02,0.000000E+00,1.354478E+03,0.000000E+00,5.126181E-02,0.000000E+00,1.356149E+03,0.000000E+00,5.132502E-02,0.000000E+00,1.341984E+03,0.000000E+00,5.078867E-02,0.000000E+00,1.617940E+03,0.000000E+00,6.123308E-02,0.000000E+00,1.626693E+03,0.000000E+00,6.156446E-02,0.000000E+00,1.598748E+03,0.000000E+00,6.050679E-02,0.000000E+00,1.600142E+03,0.000000E+00,6.055954E-02,0.000000E+00,1.596111E+03,0.000000E+00,6.040660E-02,0.000000E+00 
00:18:00,1.393838E+03,0.000000E+00,5.275126E-02,0.000000E+00,6.982192E+02,0.000000E+00,2.642577E-02,0.000000E+00,1.384659E+03,0.000000E+00,5.240390E-02,0.000000E+00,1.387736E+03,0.000000E+00,5.252034E-02,0.000000E+00,1.352476E+03,0.000000E+00,5.118558E-02,0.000000E+00,1.416212E+03,0.000000E+00,5.359798E-02,0.000000E+00,7.301739E+02,0.000000E+00,2.763512E-02,0.000000E+00,1.399516E+03,0.000000E+00,5.296614E-02,0.000000E+00,1.402107E+03,0.000000E+00,5.306422E-02,0.000000E+00,1.383567E+03,0.000000E+00,5.236226E-02,0.000000E+00,1.672425E+03,0.000000E+00,6.329498E-02,0.000000E+00,1.682519E+03,0.000000E+00,6.367705E-02,0.000000E+00,1.651372E+03,0.000000E+00,6.249826E-02,0.000000E+00,1.653855E+03,0.000000E+00,6.259222E-02,0.000000E+00,1.646652E+03,0.000000E+00,6.231918E-02,0.000000E+00 
00:21:00,1.439038E+03,0.000000E+00,5.446174E-02,0.000000E+00,7.232795E+02,0.000000E+00,2.737417E-02,0.000000E+00,1.429121E+03,0.000000E+00,5.408647E-02,0.000000E+00,1.432747E+03,0.000000E+00,5.422368E-02,0.000000E+00,1.391744E+03,0.000000E+00,5.267153E-02,0.000000E+00,1.462108E+03,0.000000E+00,5.533482E-02,0.000000E+00,7.560862E+02,0.000000E+00,2.861576E-02,0.000000E+00,1.444297E+03,0.000000E+00,5.466080E-02,0.000000E+00,1.447390E+03,0.000000E+00,5.477786E-02,0.000000E+00,1.424745E+03,0.000000E+00,5.392046E-02,0.000000E+00,1.726252E+03,0.000000E+00,6.533197E-02,0.000000E+00,1.737594E+03,0.000000E+00,6.576120E-02,0.000000E+00,1.703846E+03,0.000000E+00,6.448406E-02,0.000000E+00,1.706860E+03,0.000000E+00,6.459811E-02,0.000000E+00,1.696716E+03,0.000000E+00,6.421367E-02,0.000000E+00 
00:24:00,1.483611E+03,0.000000E+00,5.614853E-02,0.000000E+00,7.479314E+02,0.000000E+00,2.830711E-02,0.000000E+00,1.472963E+03,0.000000E+00,5.574555E-02,0.000000E+00,1.477114E+03,0.000000E+00,5.590264E-02,0.000000E+00,1.430647E+03,0.000000E+00,5.414364E-02,0.000000E+00,1.507366E+03,0.000000E+00,5.704753E-02,0.000000E+00,7.816034E+02,0.000000E+00,2.958144E-02,0.000000E+00,1.488464E+03,0.000000E+00,5.633221E-02,0.000000E+00,1.492038E+03,0.000000E+00,5.646747E-02,0.000000E+00,1.465492E+03,0.000000E+00,5.546240E-02,0.000000E+00,1.779393E+03,0.000000E+00,6.734300E-02,0.000000E+00,1.791927E+03,0.000000E+00,6.781730E-02,0.000000E+00,1.755657E+03,0.000000E+00,6.644476E-02,0.000000E+00,1.759185E+03,0.000000E+00,6.657826E-02,0.000000E+00,1.746264E+03,0.000000E+00,6.608867E-02,0.000000E+00 
00:27:00,1.527515E+03,0.000000E+00,5.780997E-02,0.000000E+00,7.721718E+02,0.000000E+00,2.922448E-02,0.000000E+00,1.516140E+03,0.000000E+00,5.737949E-02,0.000000E+00,1.520799E+03,0.000000E+00,5.755581E-02,0.000000E+00,1.469159E+03,0.000000E+00,5.560101E-02,0.000000E+00,1.551975E+03,0.000000E+00,5.873565E-02,0.000000E+00,8.067196E+02,0.000000E+00,3.053195E-02,0.000000E+00,1.531955E+03,0.000000E+00,5.797801E-02,0.000000E+00,1.535988E+03,0.000000E+00,5.813064E-02,0.000000E+00,1.505788E+03,0.000000E+00,5.698726E-02,0.000000E+00,1.831823E+03,0.000000E+00,6.932711E-02,0.000000E+00,1.845443E+03,0.000000E+00,6.984247E-02,0.000000E+00,1.806737E+03,0.000000E+00,6.837778E-02,0.000000E+00,1.810750E+03,0.000000E+00,6.852963E-02,0.000000E+00,1.795262E+03,0.000000E+00,6.794287E-02,0.000000E+00 
00:30:00,1.570800E+03,0.000000E+00,5.944800E-02,0.000000E+00,7.959973E+02,0.000000E+00,3.012615E-02,0.000000E+00,1.558671E+03,0.000000E+00,5.898899E-02,0.000000E+00,1.563818E+03,0.000000E+00,5.918379E-02,0.000000E+00,1.507260E+03,0.000000E+00,5.704279E-02,0.000000E+00,1.595924E+03,0.000000E+00,6.039879E-02,0.000000E+00,8.314291E+02,0.000000E+00,3.146706E-02,0.000000E+00,1.574812E+03,0.000000E+00,5.959984E-02,0.000000E+00,1.579281E+03,0.000000E+00,5.976896E-02,0.000000E+00,1.545612E+03,0.000000E+00,5.849427E-02,0.000000E+00,1.883517E+03,0.000000E+00,7.128340E-02,0.000000E+00,1.898157E+03,0.000000E+00,7.183729E-02,0.000000E+00,1.857118E+03,0.000000E+00,7.028433E-02,0.000000E+00,1.861586E+03,0.000000E+00,7.045343E-02,0.000000E+00,1.843680E+03,0.000000E+00,6.977507E-02,0.000000E+00 
